mögliche Konflikte wegen gelöschter "ß" oder "ä,ü,ö":
'ausser' (duplicate?); ignored
'aeusserster' (duplicate?); ignored
'begruessen' (duplicate?); ignored
'bloss' (duplicate?); ignored
'draussen' (duplicate?); ignored
'fuessen' (duplicate?); ignored
'groesser' (duplicate?); ignored
'gruesse' (duplicate?); ignored
'hiess' (duplicate?); ignored
'masse' (duplicate?); ignored
'phoenix' (duplicate?); ignored
'regelmaessigen' (duplicate?); ignored
'sass' (duplicate?); ignored
'schoss' (duplicate?); ignored
'strasse' (duplicate?); ignored
'suess' (duplicate?); ignored

HEY			HH EH IH
HEY(2)		HH EH Y
HI			HH AY
ILA 		IIH L AH
ILA(2) 		Q IIH L AAH
TSCHUESS	CH YY S
TSCHUESS(2)	CH YYH S
TV(2)		T IY V IY
WEB			V EH P
WEB(2)		W EH B
M 			EH M
XML			IH K S EH M EH L
POWERPOINT 	P AW EX P OY N T
WORD		V OHH RR D
EXCEL		Q EH K Z AX L
EXCEL(2)	Q EH K S EH L
ONEDRIVE	W AH N D RR AY F
ONEDRIVE(2)  	W AH N D R AY F
SUCH		S UUH X
FRAG(2)		F RR AAH G
CREO		K RR EH OOH
ELEMENTS 	Q EEH L AX M EH N T S
METT		M EH T
LAB			L AAH B
LAB(2)		L EH B
LAB(3)  	L AE B
MATLAB		M EH T L EH B
MATLAB(2) 	M AE T L AE B
MATLAB(3) 	M AE D L AE B
KRAY		K R AY
AZIZE		AH Z IIH Z EHH
AZIZE(2)	AH Z IIH Z EH
FLORIAN		F L OOH RR IIH AAH N
MEHDI		M EEH CC D IH
MEHDI(2)	M EEH X D IH
MARVIN		M AH EX V IIH N
JENS		Y EH N Z
TOMMI		T OOH M M IIH
TOMMI(2)	T OO M M IH
BENEDIKT	B EH N AX D IH K T
PHILIPP		F IIH L L IH P
PHILIPP(2)	F IH L IH P
DENNIS		D EH N N IH S
JESSICA		CH EH S IIH K AAH
ISABELLA	IIH Z AAH B EH L AAH
CARLA  		K AH RR L AAH
ELKE  		EH L K AX
STOPPE 		SH T OO P AX
TIMER		T AY M EX
LADE		L AAH D AX
SENDE		Z EH N D AX
AKTUALISIERE	Q AH K T UUH AH L IIH Z IIH RR AX
ZEIG		TS AY G
AKTIVIERE	AH K T IIH V IIH RR AX
ABBRECHEN	Q AH P B RR EH CC AX N
ADOBE		AAH D OOH B AX
READER		RR IIH D EX
IGOR		IIH G OO EX
IMAGEJ		Q IH M IH CH CH EH Y
TASCHENRECHNER	T AH SH AX N RR EH CC N EX
NIX			N IH K S
NIX(2)		N IY K S
PRUEFE		P RR YYH F AX
ENERGIESPARMODUS  EEH N EH EX G IIH SH P AH EX M OOH D UU S
AENDERE		Q EH N D EX AX
UHRZEIT 	UUH EX TS AY T
OFFLINE		OO F L AY N
GRENZWERT	G RR EH N TS V EH EX T
SOUND 		S AW N T
SOUNDS  	S AW N T S
LERN		L EH EX N
ANSCHALTEN	Q AH N SH AH L T AX N
GUCKEN		G UU K AX N 
OK			Q OOH K EH Y
SIEHTS		Z IIH T S
PROBLEMO	RR OOH B L EEH M OOH
WECKER		V EH K EH EX
HAHA		HH AAH HH AAH
WOW			V AW
WOLFRAM		V OO L F RR AAH M
ALPHA		Q AH L F AH
BROWSE 		B R AW Z
SCHLIESSE	SH L IIH S AX
ARDUINO		AH EX D UU IIH N AO
DOENER		D OE N EX
HOER		HH OHH EX
HOER(2)		HH OHH RR
UPDATES  	Q AH P D EE IH TS
UPDATEN  	Q AH P D EE IH T AX N
GOLEM		G OO L EH M
GOLEM(2)	G OOH L EH M
SCHLAGZEILEN	SH L AAH K TS AY L AX N
NEUSTE 		N OY S T AX
NEUSTEN 	N OY S T AX N
AKTUELLSTE 	Q AH K T UH Q EH L S T AX
MAC			M EH K
PDF			P EEH D EEH Q EH F
D			D EEH
WINDOWS		V IH N D OOH S
WINDOWS(2)	UU W IH N D OOH S
FANTASTISCH  	F AH N T AH S T IH SH
MIES		M IIH S
MISERABEL	M IIH S EH RR AAH B AX L
METALLICA	M EH T AH L IH K AH
METALLICA(2)	M EH T EH L IH K AH
METALLICA(3)  	M EH T AE L IH K AH
JIM			JH IIH M
JIMI		JH IIH M IIH
HENDRIX		HH EH N RR IH K S
HENDRIX(2)	HH EH N D RR IH K S
THE(2) 		TH AX
WHITE 		W AY T
STRIPES		S T RR AY P S
STRIPES(2) 	S T R AY P S
STRIPES(3) 	S T W AY P S
TUERKISCH	T YY EX K IH SH
DUISBURG	D YY S B UU EX K
BRUESSEL 	B RR YY S AX L
AMSTERDAM	AH M S T EH EX D AH M
APP  		EH P
APP(2)  	AE P
APPS  		EH P S
APPS(2)  	AE P S
ZUHAUSE		TS UUH HH AW Z AX
BOSS  		B OO S
LOL  		L OO L
MIX  		M IY K S
MIX(2)  	M IH K S
DEICHKIND	D AY CC K IH N T
SPRACHQUALITAET  SH P RR AAH X K V AH L IIH T EHH T
KALKBRENNER	K AH L K B RR EH N EH EX
BRENNER		B RR EH N EH EX
KING		K IH NG
B(2)		B IY
BB  		B IY B IY
ROCKT  		RR OO K T
BOSSE  		B OO S AX
FUSSBALLERGEBNISSE  F UUH S B AH L Q EH EX G EEH P N IH S AX
FUSSBALLERGEBNISSEN  F UUH S B AH L Q EH EX G EEH P N IH S AX N
TESTE  		T EH S T AX
TANKSTELLE 	T AH NG K SH T EH L AX
TANK  		T AH NG K
LEAGUE  	L IIH G
LEGEND(2)  	L EEH JH AX N T S
LEGENDS  	L EEH G AX N T S
LEGENDS(2) 	L EEH JH AX N T S
FEED  		F IIH T
RSS  		AH RR EEH EX EH S EH S
RSS(2)  	Q EH RR EEH EX EH S EH S
ER(2)  		Q EH RR
R(2)  		Q EH RR
README  	RR IIH T M IIH
CALCULATOR  	K AAH L K UUH L AH T OOH EX
CALCULATOR(2)  	K EHH L K IH UUH L EHH T OOH EX
ZZ  		Z IIH Z IIH
TOP  		T OO P
BLIZZARD  	B L IH Z AX D
BEAT  		B IIH T
BEATSTEAKS  B IIH T S T EH Y K S
STEAKS  	S T EH Y K S
STOP  		SH T OO P
STOP(2)  	S T OO P
JAY  		JH EH Y
Z  			Z IIH
ROOT  		RR UUH T
ROOTS  		RR UUH T S
KINGS  		K IH NG S
LEON  		L Y OOH N
KYUSS		K AY UU S
ABORT  		AH B OO EX T
READ  		RR IIH T
ZUGVERBINDUNG  		TS UUH K F EH EX B IH N D UU NG
BAHNVERBINDUNG  	B AAH N F EH EX B IH N D UU NG
BUSVERBINDUNG  		B UU S F EH EX B IH N D UU NG
ZUGVERBINDUNGEN  	TS UUH K F EH EX B IH N D UU NG AX N
BAHNVERBINDUNGEN  	B AAH N F EH EX B IH N D UU NG AX N
BUSVERBINDUNGEN  	B UU S F EH EX B IH N D UU NG AX N
FILMSERIE  	F IH L M Q Z EE RR IIH AX
FILMSERIEN  F IH L M Q Z EE RR IIH AX N
STARCRAFT  SH T AAH EX K RR EHH F T		K V AAH
STARCRAFT(2)  SH T AAH EX K V AAH F T
JOE  JH OO
JO  JH OO
my M AY
electro Q EH L EH K T RR OOH
elektro Q EH L EH K T RR OOH
electro(2) IIH L EH K T RR OOH
roboy RR OOH B OY
heyila  HH EH IH Q IIH L AAH
heyila(2) HH EH Y IIH L AH
mighty  M AY T EEH
voice  V OY S
verpassten F EH EX P AH S T AX N
verpasste F EH EX P AH S T AX
entferne Q EH N T F EH RR N AX
meeting M IIH T IH NG
einzuschalten Q AY N TS UUH SH AH L T AX N
aufwecken Q AW F V EH K AX N
aufzuwecken Q AW F TS UUH V EH K AX N
berechne B AX RR EH CC N AX
atom Q AH T OOH M
